tanggal,suhu_rata,kelembapan,curah_hujan,lama_penyinaran,angin,stasiun
11-06-2011,26.9,81.0,0.0,3.5,0.0,96737
13-06-2011,26.9,81.0,3.0,1.9,0.0,96737
14-06-2011,27.6,76.0,0.0,3.0,1.0,96737
17-06-2011,26.5,81.0,0.0,8.0,1.0,96737
18-06-2011,26.1,79.0,0.0,7.0,1.0,96737
19-06-2011,26.1,78.0,0.0,8.0,1.0,96737
20-06-2011,26.7,77.0,0.0,6.6,1.0,96737
21-06-2011,26.9,78.0,0.0,8.0,2.0,96737
22-06-2011,27.2,80.0,0.0,6.5,0.0,96737
24-06-2011,26.9,80.0,0.0,4.5,0.0,96737
25-06-2011,27.6,78.0,0.0,7.5,1.0,96737
26-06-2011,26.8,78.0,0.0,6.5,1.0,96737
27-06-2011,27.5,76.0,0.0,4.0,0.0,96737
28-06-2011,25.3,94.0,7.0,1.5,1.0,96737
29-06-2011,26.6,84.0,16.0,4.0,0.0,96737
01-07-2011,25.1,90.0,5.0,0.0,0.0,96737
02-07-2011,26.1,85.0,0.0,5.5,0.0,96737
03-07-2011,26.5,85.0,0.0,7.4,1.0,96737
04-07-2011,26.5,78.0,0.0,3.2,1.0,96737
